Make,Model,Fuel,kmpl
Ford,Automatic transmission (2011 Ford Fusion),Gasoline,8.715452
Ford,Manual transmission (2010 Ford Fusion),Gasoline,11.266316
Ford,Automatic transmission (2010 Ford Fusion),Gasoline,12.116604
Ford,Manual transmission (2010 Ford Fusion),Gasoline,10.841172
Ford,Automatic transmission (2010 Ford Fusion),Gasoline,9.778312
Ford,Automatic transmission (2010 Ford Fusion),Gasoline,11.266316
Ford,Automatic transmission (2010 Ford Fusion),E85,7.014876
Ford,Automatic transmission (2010 Ford Fusion),E85,6.589732000000001
Ford,Automatic transmission (2010 Ford Fusion),Gasoline,9.56574
Ford,Automatic transmission (2010 Ford Fusion),Gasoline,8.715452
Kia,Manual transmission (2011 Kia Forte),Gasoline,12.541748
Kia,Automatic transmission (2011 Kia Forte),Gasoline,13.179464000000001
Kia,Automatic transmission (2011 Kia Forte),Gasoline,11.691460000000001
Audi,Automatic transmission (2009 Audi Q7),Diesel Fuel,8.928024
Kia,Manual transmission (2011 Kia Forte 5-Door),Gasoline,12.541748
Kia,Automatic transmission (2011 Kia Forte 5-Door),Gasoline,13.179464000000001
Kia,Manual transmission (2011 Kia Forte 5-Door),Gasoline,11.478888000000001
Kia,Automatic transmission (2011 Kia Forte 5-Door),Gasoline,11.691460000000001
Kia,Manual transmission (2011 Kia Forte Koup),Gasoline,12.116604
Kia,Automatic transmission (2011 Kia Forte Koup),Gasoline,12.541748
Kia,Manual transmission (2011 Kia Forte Koup),Gasoline,11.478888000000001
Kia,Automatic transmission (2011 Kia Forte Koup),Gasoline,11.478888000000001
Audi,Manual transmission (2011 Audi R8 Coupe),Gasoline,6.589732000000001
Kia,Manual transmission (2010 Kia Forte),Gasoline,12.541748
Kia,Automatic transmission (2010 Kia Forte),Gasoline,12.541748
Kia,Automatic transmission (2010 Kia Forte),Gasoline,13.392036000000001
Kia,Manual transmission (2010 Kia Forte),Gasoline,11.478888000000001
Kia,Automatic transmission (2010 Kia Forte),Gasoline,11.478888000000001
Audi,Manual transmission (2012 Audi R8 Coupe),Gasoline,6.589732000000001
Hyundai,Automatic transmission (2012 Hyundai Elantra Touring),Gasoline,11.266316
Hyundai,Manual transmission (2012 Hyundai Elantra Touring),Gasoline,11.478888000000001
