Country,Fuel Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Pakistan,Petrol,73.76,63.4,70.24,86.785,103.33,98.6,117.65,192.92,275.0,278.0
Panama,Diesel,0.5,0.565,0.63,0.76,0.71,0.54,0.74,1.16,0.97,0.87
Panama,Petrol,0.65,0.6900000000000001,0.73,0.81,0.76,0.62,0.85,1.11,0.99,0.92
Papua New Guinea,Diesel,197.79,229.815,261.84,325.89,322.39,246.9,310.2,425.66,415.49,422.64
Papua New Guinea,Petrol,273.49,292.05,310.61,357.69,343.89,286.87,358.38,442.27,422.3,446.49
Paraguay,Diesel,4653.33,4290.0,4323.33,5068.33,5061.67,4537.5,5682.5,8566.67,8093.33,7616.67
Paraguay,Petrol,5142.5,4592.5,4967.5,5830.83,5761.67,5115.0,6340.0,8547.5,7454.17,6783.33
Peru,Diesel,9.65,8.83,9.75,11.23,11.39,10.59,13.06,16.89,16.85,16.88
Peru,Petrol,10.64,10.14,11.23,12.63,12.39,11.19,14.65,18.9,18.06,17.77
Philippines,Diesel,23.74,28.955,34.17,44.6,43.72,36.53,43.71,72.39,62.48,61.26
Philippines,Petrol,35.8,40.065,44.33,52.86,51.04,45.45,52.74,69.97,63.09,61.73
Poland,Diesel,4.35,3.98,4.35,4.92,4.99,4.2,5.2,7.03,6.32,6.46
Poland,Petrol,4.56,4.28,4.52,4.9,4.93,4.26,5.55,6.54,6.41,6.47
Portugal,Diesel,1.16,1.09,1.21,1.31,1.33,1.23,1.4,1.8,1.58,1.6
Portugal,Petrol,1.38,1.34,1.44,1.53,1.5,1.38,1.63,1.89,1.75,1.74
Qatar,Diesel,1.5,1.43,1.55,1.96,1.95,1.4,1.82,2.05,2.05,2.05
Qatar,Petrol,1.38,1.28,1.65,1.94,1.74,1.28,1.83,2.03,2.03,1.99
Romania,Diesel,5.13,4.64,4.92,5.64,5.77,4.72,5.62,8.08,7.1,7.24
Romania,Petrol,5.32,4.92,5.03,5.55,5.49,4.64,5.7,7.46,6.86,7.06
Russia,Diesel,34.78,35.48,37.89,43.68,46.52,47.78,50.15,54.76,59.39,65.23
Russia,Petrol,33.91,35.66,37.79,42.02,44.41,45.8,48.27,50.62,51.85,55.15
Rwanda,Diesel,912.83,822.0,862.0,1031.5,1048.83,978.17,1022.33,1455.58,1622.67,1637.33
Rwanda,Petrol,912.83,908.67,955.33,1073.33,1051.17,988.5,1086.83,1438.25,1638.25,1656.33
Saint Lucia,Diesel,2.62,2.71,2.8,2.98,2.99,2.54,2.86,3.64,3.62,3.63
Saint Lucia,Petrol,2.9,2.64,2.74,3.06,2.98,2.56,3.03,3.74,3.52,3.65
Saudi Arabia,Diesel,0.25,0.45,0.45,0.47,0.47,0.49,0.52,0.63,0.75,1.15
Saudi Arabia,Petrol,0.53,0.83,0.83,1.73,1.77,1.45,2.16,2.26,2.26,2.26
Senegal,Diesel,690.0,598.75,595.0,595.0,625.0,655.0,655.0,655.0,755.0,755.0
Senegal,Petrol,765.0,670.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,920.0
Serbia,Diesel,123.33,136.07,148.81,160.45,160.08,148.2,160.07,201.46,194.86,199.66
Sierra Leone,Diesel,3750.0,4875.0,6000.0,7000.0,8000.0,7458.33,9041.67,16.67,24.46,28.92
Sierra Leone,Petrol,3750.0,4875.0,6000.0,7000.0,7708.33,7083.33,9041.67,16.67,24.81,30.33
Singapore,Diesel,1.17,1.06,1.25,1.52,1.56,1.3,1.58,2.37,2.25,2.32
Singapore,Petrol,1.87,1.78,1.96,2.18,2.18,1.97,2.34,2.84,2.71,2.78
Slovakia,Diesel,1.09,0.98,1.09,1.22,1.21,1.05,1.2,1.72,1.56,1.52
Slovakia,Petrol,1.22,1.14,1.22,1.32,1.29,1.14,1.37,1.69,1.58,1.59
Slovenia,Diesel,1.17,1.09,1.18,1.29,1.26,1.04,1.26,1.65,1.49,1.51
Slovenia,Petrol,1.27,1.18,1.25,1.31,1.28,1.05,1.26,1.49,1.41,1.46
South Africa,Diesel,1137.89,1350.99,1388.86,1236.94,1454.47,2179.13,2093.04,1988.04,2150.0,2200.0
South Africa,Petrol,1339.08,1339.08,1339.08,1519.25,1547.75,1449.67,1736.0,2247.67,2276.33,2277.33
Spain,Diesel,1.09,1.01,1.1,1.2,1.21,1.07,1.26,1.69,1.51,1.47
Spain,Petrol,1.23,1.15,1.22,1.29,1.28,1.15,1.4,1.67,1.59,1.59
Sri Lanka,Diesel,96.58,93.67,99.58,110.58,104.92,104.0,107.92,306.67,333.92,332.25
Sri Lanka,Petrol,124.92,119.5,124.75,138.83,137.92,137.0,158.5,373.17,337.58,351.42
Sudan,Diesel,3.47,3.67,4.62,8.08,13.88,20.08,197.83,391.25,488.75,618.0
Sudan,Petrol,4.8,5.42,5.71,11.21,14.63,22.08,187.92,492.25,487.5,790.0
Suriname,Diesel,4.1,4.42,5.27,6.21,6.58,7.31,12.01,21.68,34.52,35.09
Suriname,Petrol,4.28,4.72,5.77,6.59,6.86,7.57,13.63,23.36,36.56,36.43
Sweden,Diesel,13.27,12.8,14.07,15.71,15.82,14.28,17.43,24.3,21.91,18.06
Sweden,Petrol,13.72,13.26,14.23,15.22,15.53,13.9,16.51,20.35,19.54,18.57
Switzerland,Diesel,1.51,1.4,1.53,1.7,1.72,1.55,1.67,2.16,1.96,1.86
Switzerland,Petrol,1.46,1.38,1.47,1.6,1.6,1.4,1.63,1.93,1.81,1.78
Syria,Diesel,130.0,159.58,180.0,180.0,358.46,297.5,860.0,1441.67,4222.5,4222.5
Syrian Arab Republic,Petrol,160.0,197.92,305.5566666666667,413.1933333333334,520.83,450.0,633.33,3106.67,5042.11,5042.11
Taiwan,Diesel,21.28,19.33,21.9,24.81,24.34,19.82,23.36,27.18,27.15,27.35
Taiwan,Petrol,23.63,21.84,24.39,27.16,26.78,22.3,26.47,29.83,29.74,29.71
Tanzania,Diesel,1712.67,1798.0,1883.33,2229.25,2158.75,1861.92,2096.25,2926.58,3058.0,3039.75
Tanzania,Petrol,1900.25,1894.17,2046.25,2337.58,2211.33,1915.0,2211.58,2841.0,3026.08,3109.58
Thailand,Diesel,24.87,22.84,25.43,28.25,26.73,23.11,26.23,32.32,31.7,31.39
Thailand,Petrol,33.15,31.11,33.56,36.25,35.04,30.3,37.38,44.59,45.39,46.24
